Sample,Taxon,Family,Origin,Country,d18Op_SMOW,d18Ow_SMOW,Data_Source
CR001,Crocodylus_niloticus,Crocodylidae,(C)_Lyon,France,13.8,-7.3,Amiot_et_al.(2007)
CR002,Crocodylus_niloticus,Crocodylidae,(C)_Lyon,France,12.9,-7.3,Amiot_et_al.(2007)
CR004,Crocodylus_niloticus,Crocodylidae,(C)_Parc_culturel_du_Phare,Tunisia,14.9,-5.6,Amiot_et_al.(2007)
CR005,Crocodylus_niloticus,Crocodylidae,(C)_Parc_culturel_du_Phare,Tunisia,14.7,-5.6,Amiot_et_al.(2007)
CR007,Crocodylus_porosus/siamensis,Crocodylidae,(C)_Samutprakarn,Thailand,19.4,-1.8,Amiot_et_al.(2007)
CR008,Crocodylus_porosus/siamensis,Crocodylidae,(C)_Samutprakarn,Thailand,18.8,-1.8,Amiot_et_al.(2007)
CR009,Crocodylus_niloticus,Crocodylidae,(C)_Pierrelatte,France,18.9,-2.1,Amiot_et_al.(2007)
CR011,Crocodylus_niloticus,Crocodylidae,(C)_Pierrelatte,France,18.3,-2.1,Amiot_et_al.(2007)
CR012,Crocodylus_niloticus,Crocodylidae,(C)_Pierrelatte,France,19.3,-2.1,Amiot_et_al.(2007)
CR010,Crocodylus_niloticus,Crocodylidae,(C)_Pierrelatte,France,16.2,-5.5,Amiot_et_al.(2007)
CR013,Crocodylus_niloticus,Crocodylidae,(C)_Pierrelatte,France,17.1,-5.5,Amiot_et_al.(2007)
CR024,Crocodylus_niloticus,Crocodylidae,(C)_Pierrelatte,France,16.9,-5.5,Amiot_et_al.(2007)
CR025,Crocodylus_niloticus,Crocodylidae,(C)_Pierrelatte,France,15.6,-5.5,Amiot_et_al.(2007)
CR014,Alligator_mississipiensis,Alligatoridae,(C)_Pierrelatte,France,13.3,-8.8,Amiot_et_al.(2007)
CR015,Melanosuchus_niger,Alligatoridae,(C)_Pierrelatte,France,13.8,-8.8,Amiot_et_al.(2007)
CR016,Melanosuchus_niger,Alligatoridae,(C)_Pierrelatte,France,13.6,-8.8,Amiot_et_al.(2007)
CR017,Tomistoma_schlegelii,Gavialidae,(C)_Pierrelatte,France,12.6,-8.8,Amiot_et_al.(2007)
CR018,Tomistoma_schlegelii,Gavialidae,(C)_Pierrelatte,France,14.3,-8.8,Amiot_et_al.(2007)
CR019,Tomistoma_schlegelii,Gavialidae,(C)_Pierrelatte,France,12.5,-8.8,Amiot_et_al.(2007)
CR020,Crocodylus_niloticus,Crocodylidae,(C)_Rivière_des_anguilles,Mauritius,20.3,-3,Amiot_et_al.(2007)
CR021,Crocodylus_niloticus,Crocodylidae,(C)_Rivière_des_anguilles,Mauritius,19.2,-3,Amiot_et_al.(2007)
CR022,Crocodylus_niloticus,Crocodylidae,(C)_Lusaka,Zambia,19,-4.7,Amiot_et_al.(2007)
CR023,Crocodylus_niloticus,Crocodylidae,(C)_Lusaka,Zambia,18.7,-4.7,Amiot_et_al.(2007)
CR026,Crocodylus_niloticus,Crocodylidae,(C)_Etang_Salé,Reunion_Island,17.4,-6.1,Amiot_et_al.(2007)
CR027,Crocodylus_niloticus,Crocodylidae,(C)_Etang_Salé,Reunion_Island,18.5,-6.1,Amiot_et_al.(2007)
CR029,Paleosuchus_palpebrosus,Alligatoridae,(C)_Pierrelatte,France,13.7,-8.8,Amiot_et_al.(2007)
CR030,Crocodylus_porosus,Crocodylidae,(C)_Pierrelatte,France,12.9,-8.8,Amiot_et_al.(2007)
CR031,Crocodylus_niloticus,Crocodylidae,(C)_Benmore,South_Africa,23.3,0.9,Amiot_et_al.(2007)
CR032,Crocodylus_niloticus,Crocodylidae,(C)_Benmore,South_Africa,24.3,0.9,Amiot_et_al.(2007)
,Alligator_mississipiensis,Alligatoridae,(C)_Florida,USA,19.2,-3.6,Stoskopf_et_al.(2001)
,Alligator_mississipiensis,Alligatoridae,(W)_Northern_Florida,USA,21.1,-3.7,Stoskopf_et_al.(2001)
,Osteolaemus_tetraspis,Crocodylidae,(W)_Oubangui_River,Central_Africa,19.4,-4.5,Lécuyer_et_al.(2003)
,Alligator_mississipiensis,Alligatoridae,(W)_Florida,USA,17.4,-5,Lécuyer_et_al.(1999)
,Crocodylus_rhombifer,Crocodylidae,(W)_Brazil,Brazil,20.1,-2.6,Lécuyer_et_al.(1999)
,Crocodylus_niloticus,Crocodylidae,(?)_Jordan_Valley,Israel,15.3,-5.2,Kolodny_et_al.(1996)
