"OMNH.Item..","Specimen.ID","Taxon","Habitat","Eva_.Sens","eco_type","Element.type","samp_type","d18O","n","SD","SE"
"60378","60378-a","Glyptops sp.","semi-aquatic","EI","Aquatic Turtle","osteoscute fragment","",14.84541451,1,NA,NA
"60386","60386-a","Glyptops sp.","semi-aquatic","EI","Aquatic Turtle","osteoscute fragment","",12.76557415,1,NA,NA
"60386","60386-b","Glyptops sp.","semi-aquatic","EI","Aquatic Turtle","osteoscute fragment","",13.12658347,1,NA,NA
"60444","60444-a","Glyptops sp.","semi-aquatic","EI","Aquatic Turtle","osteoscute fragment","",14.16793479,1,NA,NA
"60447","60447-a","Glyptops sp.","semi-aquatic","EI","Aquatic Turtle","osteoscute fragment","",14.42850063,1,NA,NA
"61401","61401-a","Glyptops sp.","semi-aquatic","EI","Aquatic Turtle","osteoscute fragment","",11.14313235,1,NA,NA
"61402","61402-a","Glyptops sp.","semi-aquatic","EI","Aquatic Turtle","osteoscute fragment","",16.125960765,2,1.41755983914904,1.002366175
"61224","61224-a","Neosuchian A","terrestrial","EI","Croc A","tooth","",15.33293958,1,NA,NA
"61224","61224-b","Neosuchian A","terrestrial","EI","Croc A","tooth","",15.09904066,1,NA,NA
"61283","61283-a","Neosuchian A","terrestrial","EI","Croc A","tooth","",17.24106161,1,NA,NA
"61283","61283-b","Neosuchian A","terrestrial","EI","Croc A","tooth","",16.86220959,1,NA,NA
"61284","61284-a","Neosuchian A","terrestrial","EI","Croc A","tooth","",15.58637508,1,NA,NA
"61286","61286-a","Neosuchian A","terrestrial","EI","Croc A","tooth","",16.92962087,1,NA,NA
"61286","61286-b","Neosuchian A","terrestrial","EI","Croc A","tooth","",18.3246319,1,NA,NA
"61286","61286-c","Neosuchian A","terrestrial","EI","Croc A","tooth","",15.49069451,2,0.0435867549569843,0.03082049
"61286","61286-d","Neosuchian A","terrestrial","EI","Croc A","tooth","",23.14423417,1,NA,NA
"UNCAT002","UNCAT002-a","Neosuchian A","terrestrial","","Croc A","tooth","",16.16911066,1,NA,NA
"UNCAT003","UNCAT003-a","Neosuchian A","terrestrial","","Croc A","tooth","",17.96348348,1,NA,NA
"61289","61289-a","Neosuchian B","Semi-aquatic","EI","Croc B","tooth","",14.93984365,1,NA,NA
"61289","61289-b","Neosuchian B","Semi-aquatic","EI","Croc B","tooth","",16.43437907,1,NA,NA
"61289","61289-c","Neosuchian B","Semi-aquatic","EI","Croc B","tooth","",18.13089755,1,NA,NA
"61289","61289-d","Neosuchian B","Semi-aquatic","EI","Croc B","tooth","",18.59894675,1,NA,NA
"61289","61289-e","Neosuchian B","Semi-aquatic","EI","Croc B","tooth","",18.2587364,1,NA,NA
"61289","61289-f","Neosuchian B","Semi-aquatic","EI","Croc B","tooth","",16.38939855,1,NA,NA
"61289","61289-g","Neosuchian B","Semi-aquatic","EI","Croc B","tooth","",13.13811675,1,NA,NA
"61289","61289-h","Neosuchian B","Semi-aquatic","EI","Croc B","tooth","",19.19894981,1,NA,NA
"61289","61289-i","Neosuchian B","Semi-aquatic","EI","Croc B","tooth","",16.87756027,1,NA,NA
"61289","61289-j","Neosuchian B","Semi-aquatic","EI","Croc B","tooth","",14.96614076,1,NA,NA
"61327","61327-a","Neosuchian B","Semi-aquatic","EI","Croc B","tooth","",15.48203693,1,NA,NA
"60433","60433-a","Neosuchian G","Semi-aquatic","EI","Croc G","tooth","",17.40248992,1,NA,NA
"60433","60433-b","Neosuchian G","Semi-aquatic","EI","Croc G","tooth","",12.82166679,1,NA,NA
"60433","60433-c","Neosuchian G","Semi-aquatic","EI","Croc G","tooth","",13.22586145,1,NA,NA
"60433","60433-e","Neosuchian G","Semi-aquatic","EI","Croc G","tooth","",10.26975838,1,NA,NA
"60433","60433-f","Neosuchian G","Semi-aquatic","EI","Croc G","tooth","",9.753627578,1,NA,NA
"60433","60433-g","Neosuchian G","Semi-aquatic","EI","Croc G","tooth","",13.38731078,1,NA,NA
"60442","60442-a","Neosuchian G","Semi-aquatic","EI","Croc G","tooth","serial",13.046698835,2,0.0277264276367162,0.0196055450000001
"61309","61309-a","Neosuchian G","Semi-aquatic","EI","Croc G","tooth","",17.24457823,1,NA,NA
"61309","61309-b","Neosuchian G","Semi-aquatic","EI","Croc G","tooth","",16.93901814,2,0.247589691766528,0.175072349999999
"61309","61309-d","Neosuchian G","Semi-aquatic","EI","Croc G","tooth","",15.8785373,1,NA,NA
"61399","61399-b","Neosuchian G","Semi-aquatic","EI","Croc G","tooth","",10.97414118,1,NA,NA
"61399","61399-a","Neosuchian G","Semi-aquatic","EI","Croc G","tooth","",17.61436836,1,NA,NA
"27858","27858-c","Lepisosteids","aquatic","EI","Fish","tooth","bulk",13.25065404,1,NA,NA
"27858","27858-d","Lepisosteids","aquatic","EI","Fish","tooth","bulk",15.55814106,1,NA,NA
"27858","27858-f","Lepisosteids","aquatic","EI","Fish","tooth","bulk",12.10134695,1,NA,NA
"27858","27858-h","Lepisosteids","aquatic","EI","Fish","tooth","bulk",14.12119185,1,NA,NA
"27873","27873-a","Lepisosteids","aquatic","EI","Fish","ganoid scale","bulk",14.7533333333333,3,0.270985854489368,0.156453756036018
"27873","27873-b","Lepisosteids","aquatic","EI","Fish","ganoid scale","bulk",13.77,3,3.2016870552882,1.84849488323158
"27873","27873-c","Lepisosteids","aquatic","EI","Fish","ganoid scale","bulk",12.99,1,NA,NA
"27873","27873-d","Lepisosteids","aquatic","EI","Fish","ganoid scale","bulk",15.57,1,NA,NA
"27873","27873-e","Lepisosteids","aquatic","EI","Fish","ganoid scale","bulk",15.42,2,0.42426406871193,0.300000000000001
"27873","27873-j","Lepisosteids","aquatic","EI","Fish","ganoid scale","bulk",15.65,1,NA,NA
"61221","61221-a","Lepisosteids","aquatic","EI","Fish","ganoid scale","bulk",14.21929209,1,NA,NA
"61221","61221-b","Lepisosteids","aquatic","EI","Fish","ganoid scale","bulk",12.60158682,1,NA,NA
"61221","61221-c","Lepisosteids","aquatic","EI","Fish","ganoid scale","bulk",14.76139967,1,NA,NA
"61221","61221-e","Lepisosteids","aquatic","EI","Fish","ganoid scale","bulk",14.87163958,1,NA,NA
