Serial #,OMNH Item #,Specimen ID,Sample ID,Weight (µg),Date sampled,Taxon,thermophysiology,Habitat,Eva_ Sens,Eco,Element type,samp_type,Tissue,Xtal Wt (ug),Yield,# elements in sample,Glue?,Analysis,Batch #,Crown Ht (mm),Identifier 1,Amount,Ampl 28 (mV),Area 28 (Vs),%O,d18O (VSMOW)
6,60378,60378-a,60378-a.1,563.5,1/21/22,Glyptops sp.,ectotherm,semi-aquatic,EI,Aquatic Turtle,osteoscute fragment,,bone,202.4,0.359183673,,,1,1.2,,60378-a1,0.2024,1458,17.044,16.1002796,14.84541451
13,60386,60386-a,60386-a.2,574,1/22/22,Glyptops sp.,ectotherm,semi-aquatic,EI,Aquatic Turtle,osteoscute fragment,,bone,,0,,,2,2.1,,60386-a2,0.4586,2518,31.554,12.9862844,12.76557415
15,60386,60386-b,60386-b.1,470.7,1/22/22,Glyptops sp.,ectotherm,semi-aquatic,EI,Aquatic Turtle,osteoscute fragment,,bone,285.7,0.606968345,,,1,1.2,,60386-b1,0.2857,1936,24.013,15.30563055,13.12658347
133,60444,60444-a,60444-a.1,591.1,9/1/22,Glyptops sp.,ectotherm,semi-aquatic,EI,Aquatic Turtle,osteoscute fragment,,enamel,462,0.781593639,,,2,2.1,,60444-a1,0.462,3072,37.994,15.14090761,14.16793479
18,60447,60447-a,60447-a.1,375.2,1/24/22,Glyptops sp.,ectotherm,semi-aquatic,EI,Aquatic Turtle,osteoscute fragment,,enamel,291.3,0.776385928,,,1,1.2,,60447-a1,0.2913,2014,25.103,15.69256729,14.42850063
5,61401,61401-a,61401-a.3,489,1/21/22,Glyptops sp.,ectotherm,semi-aquatic,EI,Aquatic Turtle,osteoscute fragment,,bone,,0,,,2,2.1,,61401-a3,0.3083,2363,29.238,18.03726705,11.14313235
9,61402,61402-a,61402-a.1,503.4,1/22/22,Glyptops sp.,ectotherm,semi-aquatic,EI,Aquatic Turtle,osteoscute fragment,,bone,223.9,0.444775526,,,1,1.2,,61402-a1,0.2239,1640,19.083,16.22735567,15.12359459
10,61402,61402-a,61402-a.2,584.6,1/22/22,Glyptops sp.,ectotherm,semi-aquatic,EI,Aquatic Turtle,osteoscute fragment,,bone,320.7,0.548580226,,,1,1.2,,61402-a2,0.3207,4218,54.509,31.04121886,17.12832694
124,61224,61224-a,61224-a.2,520.6,9/1/22,Neosuchian A,ectotherm,terrestrial,EI,Croc A,tooth,,enamel,355.5,0.682865924,,1,2,2.1,,61224-a2,0.3555,1991,24.837,13.6005758,15.33293958
125,61224,61224-b,61224-b.2,347.6,9/1/22,Neosuchian A,ectotherm,terrestrial,EI,Croc A,tooth,,enamel,,0,,1,2,2.1,,61224-b2,0.5875,3874,48.737,14.95369562,15.09904066
78,61283,61283-a,61283-a.1,371.2,4/12/22,Neosuchian A,ectotherm,terrestrial,EI,Croc A,tooth,,enamel,433.3,1.167295259,,1,1,1.1,,61283-a1,0.4333,2985,36.001,15.56437274,17.24106161
79,61283,61283-b,61283-b.1,391.3,4/12/22,Neosuchian A,ectotherm,terrestrial,EI,Croc A,tooth,,enamel,360.5,0.921288014,,1,1,1.1,,61283-b1,0.3605,2505,30.037,15.65754239,16.86220959
77,61284,61284-a,61284-a.1,497.8,3/5/22,Neosuchian A,ectotherm,terrestrial,EI,Croc A,tooth,,enamel,599,1.203294496,,1,1,1.1,,61284-a1,0.599,3973,50.709,15.91524373,15.58637508
72,61286,61286-a,61286-a.1,456.4,3/5/22,Neosuchian A,ectotherm,terrestrial,EI,Croc A,tooth,,enamel,633,1.38694128,,1,1,1.1,,61286-a1,0.633,4180,54.31,15.67327634,16.92962087
73,61286,61286-b,61286-b.1,562.4,3/5/22,Neosuchian A,ectotherm,terrestrial,EI,Croc A,tooth,,enamel,775.6,1.379089616,,1,1,1.1,,61286-b1,0.7756,4990,63.608,15.22516843,18.3246319
74,61286,61286-c,61286-c.1,442.6,3/5/22,Neosuchian A,ectotherm,terrestrial,EI,Croc A,tooth,,enamel,506.9,1.145277903,,1,1,1.1,,61286-c1,0.5069,3463,42.996,15.84195919,15.45987402
75,61286,61286-c,61286-c.2,451.6,3/5/22,Neosuchian A,ectotherm,terrestrial,EI,Croc A,tooth,,enamel,601.3,1.331488043,,1,1,1.1,,61286-c2,0.6013,3925,48.781,15.10888148,15.521515
76,61286,61286-d,61286-d.1,543.3,3/5/22,Neosuchian A,ectotherm,terrestrial,EI,Croc A,tooth,,enamel,732.2,1.347690042,,1,1,1.1,,61286-d1,0.7322,4536,59.815,14.92796794,23.14423417
154,UNCAT002,UNCAT002-a,UNCAT002-a.1,475.5,9/3/22,Neosuchian A,ectotherm,terrestrial,,Croc A,tooth,,enamel,,0,,,2,2.1,,UC002-a1,0.4225,2776,34.57,15.25423557,16.16911066
155,UNCAT003,UNCAT003-a,UNCAT003-a.1,366.8,9/3/22,Neosuchian A,ectotherm,terrestrial,,Croc A,tooth,,enamel,,0,,,2,2.1,,UC003-a1,0.3487,2263,28.121,15.40835283,17.96348348
62,61289,61289-a,61289-a.1,342.5,2/16/22,Neosuchian B,ectotherm,Semi-aquatic,EI,Croc B,tooth,,enamel,430,1.255474453,,1,1,1.1,,61289-a1,0.43,2198,26.137,11.46788909,14.93984365
63,61289,61289-b,61289-b.1,398.7,2/16/22,Neosuchian B,ectotherm,Semi-aquatic,EI,Croc B,tooth,,enamel,326.6,0.819162277,,1,1,1.1,,61289-b1,0.3266,2289,27.59,15.91111392,16.43437907
64,61289,61289-c,61289-c.1,499.8,2/16/22,Neosuchian B,ectotherm,Semi-aquatic,EI,Croc B,tooth,,enamel,545.3,1.091036415,,1,1,1.1,,61289-c1,0.5453,3588,43.79,14.99780389,18.13089755
71,61289,61289-d,61289-d.1,466.5,2/17/22,Neosuchian B,ectotherm,Semi-aquatic,EI,Croc B,tooth,,enamel,596.8,1.279314041,,1,1,1.1,,61289-d1,0.5968,3757,47.809,14.94696979,18.59894675
61,61289,61289-e,61289-e.1,557.9,2/16/22,Neosuchian B,ectotherm,Semi-aquatic,EI,Croc B,tooth,,enamel,654.2,1.172611579,,1,1,1.1,,61289-e1,0.6542,4246,54.41,15.50077655,18.2587364
68,61289,61289-f,61289-f.1b,564.1,2/16/22,Neosuchian B,ectotherm,Semi-aquatic,EI,Croc B,tooth,,enamel,558.6,0.990249956,,1,1,1.1,,61289-f1b,0.5586,3649,45.867,15.32155937,16.38939855
70,61289,61289-g,61289-g.1,365.5,2/17/22,Neosuchian B,ectotherm,Semi-aquatic,EI,Croc B,tooth,,enamel,206,0.563611491,,1,1,1.1,,61289-g1,0.206,1585,19.292,16.73278287,13.13811675
69,61289,61289-h,61289-h.1,402.7,2/17/22,Neosuchian B,ectotherm,Semi-aquatic,EI,Croc B,tooth,,enamel,418.3,1.038738515,,1,1,1.1,,61289-h1,0.4183,2877,34.677,15.52946815,19.19894981
65,61289,61289-i,61289-i.1,501.7,2/16/22,Neosuchian B,ectotherm,Semi-aquatic,EI,Croc B,tooth,,enamel,290.7,0.579429938,,1,1,1.1,,61289-i1,0.2907,2049,24.714,16.05392868,16.87756027
66,61289,61289-j,61289-j.1,545,2/16/22,Neosuchian B,ectotherm,Semi-aquatic,EI,Croc B,tooth,,enamel,657.2,1.20587156,,1,1,1.1,,61289-j1,0.6572,4245,54.851,15.53370012,14.96614076
151,61327,61327-a,61327-a.1,459.9,9/3/22,Neosuchian B,ectotherm,Semi-aquatic,EI,Croc B,tooth,,enamel,404.5,0.87953903,,1,2,2.1,,61327-a1,0.4045,2320,28.992,13.66496631,15.48203693
